SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
2095,2501,DET,SOL 5,CAMARINES NORTE-DAET-CARLOS II,36008-001-6,36008-001-6,SOL,CAMARINES NORTE-DAET-CARLOS II,35
2097,2503,GOA,SOL 5,CAMARINES SUR-GOA,07008-003-4,07008-003-4,SOL,CAMARINES SUR-GOA,35
2098,2504,IRG,SOL 5,IRIGA CITY-SAN ROQUE,07008-001-8,07008-001-8,SOL,IRIGA CITY-SAN ROQUE,35
2100,2506,NGA,SOL 5,NAGA CITY-GEN. LUNA,07008-002-1,07008-002-1,SOL,NAGA CITY-GEN. LUNA,35
2101,2507,NAX,SOL 5,NAGA CITY-MAGSAYSAY AVE.,07008-005-0,07008-005-0,SOL,NAGA CITY-MAGSAYSAY AVE.,35
2102,2508,NAG,SOL 5,NAGA CITY-PANGANIBAN,07008-006-3,07008-006-3,SOL,NAGA CITY-PANGANIBAN,35
2103,2509,PLI,SOL 5,CAMARINES SUR-PILI,07008-004-7,07008-004-7,SOL,CAMARINES SUR-PILI,35
2104,2510,PLG,SOL 5,ALBAY-POLANGUI,16008-004-1,16008-004-1,SOL,ALBAY-POLANGUI,35
2110,2531,MBT,SOL 6,MASBATE CITY,37008-001-9,37008-001-9,SOL,MASBATE CITY,36
2112,2533,SSG,SOL 6,SORSOGON CITY-MAGSAYSAY,16008-011-9,16008-011-9,SOL,SORSOGON CITY-MAGSAYSAY,36
2113,2534,TBC,SOL 6,ALBAY-TABACO,16008-002-5,16008-002-5,SOL,ALBAY-TABACO,36
2114,2535,VRC,SOL 6,CATANDUANES-VIRAC,01008-997-2,01008-997-2,SOL,CATANDUANES-VIRAC,36
2115,3001,BNL,VISAYAS 1,CEBU-BANILAD-MA. LUISA PARK,02008-009-7,02008-009-7,VISAYAS,CEBU-BANILAD-MA. LUISA PARK,38
2118,3004,CLN,VISAYAS 1,CEBU-COLON,02008-017-8,02008-017-8,VISAYAS,CEBU-COLON,38
2119,3005,FTO,VISAYAS 1,CEBU-FUENTE OSMEÑA,02008-002-6,02008-002-6,VISAYAS,CEBU-FUENTE OSMEÑA,38
2123,3009,LHG,VISAYAS1,CEBU-LAHUG to 3006,,,VISAYAS,CEBU-LAHUG to 3006,0
2126,3012,UCB,VISAYAS 1,CEBU UPTOWN,02008-005-5,02008-005-5,VISAYAS,CEBU UPTOWN,38
2128,3027,BAA,VISAYAS 2,CEBU-BANTAYAN,02008-033-0,02008-033-0,VISAYAS,CEBU-BANTAYAN,39
2132,3031,DAN,VISAYAS 2,CEBU-DANAO,02008-022-0,02008-022-0,VISAYAS,CEBU-DANAO,39
2133,3032,LPL,VISAYAS 2,CEBU-LAPU-LAPU-PAJO,02008-006-8,02008-006-8,VISAYAS,CEBU-LAPU-LAPU-PAJO,39
2138,3038,MSN,VISAYAS 2,CEBU-MANDAUE-NORTH ROAD,02008-034-3,02008-034-3,VISAYAS,CEBU-MANDAUE-NORTH ROAD,39
2139,3039,PSO,VISAYAS 2,CEBU-LAPU-LAPU-PUSOK,02008-026-2,02008-026-2,VISAYAS,CEBU-LAPU-LAPU-PUSOK,39
2141,3041,LCM,VISAYAS 2,CEBU-MACTAN INTL AIRPORT to 3037,02008-037-2,02008-037-2,VISAYAS,CEBU-MACTAN INTL AIRPORT to 3037,39
2142,3042,LMB,VISAYAS 2,CEBU-LAPU-LAPU-MARIBAGO,02008-011-0,02008-011-0,VISAYAS,CEBU-LAPU-LAPU-MARIBAGO,39
2143,3051,CBN,VISAYAS 3,CEBU-CARBON,02008-016-5,02008-016-5,VISAYAS,CEBU-CARBON,40
2145,3053,IMT,VISAYAS 3,TAGBILARAN-ISLAND CITY MALL,33008-004-6,33008-004-6,VISAYAS,TAGBILARAN-ISLAND CITY MALL,40
2148,3056,TBN,VISAYAS 3,CEBU-TABUNOK NAT'L. HI-WAY,02008-010-7,02008-010-7,VISAYAS,CEBU-TABUNOK NAT'L. HI-WAY,40
2151,3059,TGN,VISAYAS 3,TAGBILARAN-ALTURAS MALL,33008-003-3,33008-003-3,VISAYAS,TAGBILARAN-ALTURAS MALL,40
2154,3062,UBB,VISAYAS 3,BOHOL-UBAY,33008-005-9,33008-005-9,VISAYAS,BOHOL-UBAY,40
2157,3076,AML,VISAYAS 4,BACOLOD-EAST-BURGOS,04008-002-2,04008-002-2,VISAYAS,BACOLOD-EAST-BURGOS,41
2159,3078,KBK,VISAYAS 4,BACOLOD-HILADO,04008-012-9,04008-012-9,VISAYAS,BACOLOD-HILADO,41
2160,3079,BAR,VISAYAS 4,BACOLOD-ARANETA,04008-009-3,04008-009-3,VISAYAS,BACOLOD-ARANETA,41
2163,3082,BAI,VISAYAS 5,NEGROS OR.-BAIS CITY,20008-002-4,20008-002-4,VISAYAS,NEGROS OR.-BAIS CITY,42
2170,3089,GHL,VISAYAS 5,NEGROS OR.-GUIHULNGAN,01008-987-5,01008-987-5,VISAYAS,NEGROS OR.-GUIHULNGAN,42
2172,3091,LCR,VISAYAS 4,NEGROS OCC.-LA CARLOTA CITY,04008-005-1,04008-005-1,VISAYAS,NEGROS OCC.-LA CARLOTA CITY,41
2177,3096,TJY,VISAYAS 5,NEGROS OR.-TANJAY,20008-004-0,20008-004-0,VISAYAS,NEGROS OR.-TANJAY,42
2180,3102,BRY,VISAYAS 7,BORACAY-STATION 2,29008-003-4,29008-003-4,VISAYAS,BORACAY-STATION 2,44
2181,3103,DLN,VISAYAS 6,ILOILO-DIVERSION ROAD,08008-002-4,08008-002-4,VISAYAS,ILOILO-DIVERSION ROAD,43
2184,3106,GLI,VISAYAS 6,ILOILO-GEN. LUNA,08008-011-8,08008-011-8,VISAYAS,ILOILO-GEN. LUNA,43
2185,3107,JRO,VISAYAS 7,ILOILO-JARO,08008-004-0,08008-004-0,VISAYAS,ILOILO-JARO,44
2186,3108,JAR,VISAYAS 7,ILOILO-JARO HECHANOVA,08008-010-5,08008-010-5,VISAYAS,ILOILO-JARO HECHANOVA,44
2187,3109,KLB,VISAYAS 7,AKLAN-KALIBO-PASTRANA,29008-001-8,29008-001-8,VISAYAS,AKLAN-KALIBO-PASTRANA,44
2189,3111,LPZ,VISAYAS 6,ILOILO-LA PAZ,08008-005-3,08008-005-3,VISAYAS,ILOILO-LA PAZ,43
2192,3114,PSI,VISAYAS 7,ILOILO-PASSI CITY,08008-007-9,08008-007-9,VISAYAS,ILOILO-PASSI CITY,44
2193,3115,PLB,VISAYAS 6,ILOILO-PLAZA LIBERTAD,08008-003-7,08008-003-7,VISAYAS,ILOILO-PLAZA LIBERTAD,43
2194,3116,POT,VISAYAS 7,ILOILO-POTOTAN,08008-012-1,08008-012-1,VISAYAS,ILOILO-POTOTAN,44
2196,3118,ROX,VISAYAS 7,CAPIZ ROXAS DOWNTOWN,34008-002-3,34008-002-3,VISAYAS,CAPIZ ROXAS DOWNTOWN,44
2204,3131,CTB,VISAYAS 3,CEBU-MOALBOAL,02008-035-6,02008-035-6,VISAYAS,CEBU-MOALBOAL,40
2205,3132,CTG,VISAYAS 8,SAMAR-CATBALOGAN CITY,67008-001-0,67008-001-0,VISAYAS,SAMAR-CATBALOGAN CITY,45
2208,3135,MAS,VISAYAS 8,SOUTHERN LEYTE-MAASIN CITY,64008-001-1,64008-001-1,VISAYAS,SOUTHERN LEYTE-MAASIN CITY,45
2210,3137,ORM,VISAYAS 8,LEYTE-ORMOC CITY-BONIFACIO,39008-001-5,39008-001-5,VISAYAS,LEYTE-ORMOC CITY-BONIFACIO,45
2212,3139,PLP,VISAYAS 8,LEYTE-PALOMPON,01008-994-3,01008-994-3,VISAYAS,LEYTE-PALOMPON,45
2213,3140,TCN,VISAYAS 8,TACLOBAN CITY-JUSTICE ROMUALDEZ,11008-001-7,11008-001-7,VISAYAS,TACLOBAN CITY-JUSTICE ROMUALDEZ,45
2215,3142,LHI,VISAYAS 8,SOUTHERN LEYTE-HINUNANGAN,65008-004-3,65008-004-3,VISAYAS,SOUTHERN LEYTE-HINUNANGAN,45
2218,4002,BNG,MINDANAO 1,DAVAO-BANGOY,03008-008-7,03008-008-7,MINDANAO,DAVAO-BANGOY,46
2220,4004,BSG,MINDANAO 4,SURIGAO DEL SUR-BISLIG CITY,58008-001-6,58008-001-6,MINDANAO,SURIGAO DEL SUR-BISLIG CITY,49
2225,4009,SAD,MINDANAO 2,DAVAO-STA. ANA,03008-011-3,03008-011-3,MINDANAO,DAVAO-STA. ANA,47
2227,4011,PBO,MINDANAO 2,DAVAO DEL NORTE-PANABO,03008-022-3,03008-022-3,MINDANAO,DAVAO DEL NORTE-PANABO,47
2232,4016,DJP,MINDANAO 1,DAVAO-J.P. LAUREL AVE.,03008-025-2,03008-025-2,MINDANAO,DAVAO-J.P. LAUREL AVE.,46
2233,4017,DVP,MINDANAO 1,DAVAO-VICTORIA PLAZA,03008-027-8,03008-027-8,MINDANAO,DAVAO-VICTORIA PLAZA,46
2234,4018,LDS,MINDANAO 2,DAVAO-SAMAL ISLAND,03008-028-1,03008-028-1,MINDANAO,DAVAO-SAMAL ISLAND,47
2238,4029,BTN,MINDANAO 4,BUTUAN CITY-J.C. AQUINO,30008-002-1,30008-002-1,MINDANAO,BUTUAN CITY-J.C. AQUINO,49
2243,4034,SWN,MINDANAO 4,SURIGAO CITY-SAN NICOLAS,21008-002-7,21008-002-7,MINDANAO,SURIGAO CITY-SAN NICOLAS,49
2245,4036,SID,MINDANAO 4,SIARGAO ISLAND-DAPA,21008-004-3,21008-004-3,MINDANAO,SIARGAO ISLAND-DAPA,49
2249,4054,GNS,MINDANAO 3,GENERAL SANTOS-P. ACHARON,24008-003-9,24008-003-9,MINDANAO,GENERAL SANTOS-P. ACHARON,48
2250,4055,GSN,MINDANAO 3,GENERAL SANTOS-CITY HALL DRIVE,24008-001-3,24008-001-3,MINDANAO,GENERAL SANTOS-CITY HALL DRIVE,48
2256,4061,MYP,MINDANAO 3,NORTH COTABATO-MIDSAYAP,53008-001-1,53008-001-1,MINDANAO,NORTH COTABATO-MIDSAYAP,48
2258,4063,TRG,MINDANAO 3,SULTAN KUDARAT-TACURONG,74008-002-1,74008-002-1,MINDANAO,SULTAN KUDARAT-TACURONG,48
2262,4079,AGD,MINDANAO 2,DAVAO-AGDAO,03008-016-8,03008-016-8,MINDANAO,DAVAO-AGDAO,47
2263,4080,MTV,MINDANAO 2,DAVAO-MONTEVERDE CHINATOWN,03008-019-7,03008-019-7,MINDANAO,DAVAO-MONTEVERDE CHINATOWN,47
2266,4083,DGS,MINDANAO 1,DAVAO DEL SUR-DIGOS,03008-009-0,03008-009-0,MINDANAO,DAVAO DEL SUR-DIGOS,46
2268,4085,DTR,MINDANAO 1,DAVAO-TORIL,03008-005-8,03008-005-8,MINDANAO,DAVAO-TORIL,46
2269,4086,MTN,MINDANAO 1,DAVAO-MATINA-GSIS,03008-010-0,03008-010-0,MINDANAO,DAVAO-MATINA-GSIS,46
2272,4102,LPN,MINDANAO 5,CDO-LAPASAN HIGHWAY,10008-006-9,10008-006-9,MINDANAO,CDO-LAPASAN HIGHWAY,50
2273,4103,CCP,MINDANAO 5,CDO-TIANO,10008-007-2,10008-007-2,MINDANAO,CDO-TIANO,50
2274,4104,CRM,MINDANAO 5,CDO-CARMEN,10008-003-0,10008-003-0,MINDANAO,CDO-CARMEN,50
2277,4107,ILG,MINDANAO 5,ILIGAN CITY-QUEZON,18008-004-7,18008-004-7,MINDANAO,ILIGAN CITY-QUEZON,50
2280,4110,MBL,MINDANAO 5,MALAYBALAY CITY-RIZAL,52008-001-8,52008-001-8,MINDANAO,MALAYBALAY CITY-RIZAL,50
2281,4111,MBY,MINDANAO 5,MALAYBALAY CITY-FORTICH,52008-002-1,52008-002-1,MINDANAO,MALAYBALAY CITY-FORTICH,50
2282,4112,MRW,MINDANAO 5,MARAWI CITY-MSU CAMPUS,18008-003-4,18008-003-4,MINDANAO,MARAWI CITY-MSU CAMPUS,50
2283,4114,PLO,MINDANAO 5,ILIGAN CITY-PALA-O,18008-002-1,18008-002-1,MINDANAO,ILIGAN CITY-PALA-O,50
2286,4126,BUG,MINDANAO 6,ZAMBOANGA SIBUGAY-BUUG,61008-001-2,61008-001-2,MINDANAO,ZAMBOANGA SIBUGAY-BUUG,48
2287,4127,DPL,MINDANAO 6,DIPOLOG CITY-GEN. LUNA,50008-001-2,50008-001-2,MINDANAO,DIPOLOG CITY-GEN. LUNA,48
2290,4130,LLY,MINDANAO 6,ZAMBOANGA DEL NORTE-LILOY,60008-001-9,60008-001-9,MINDANAO,ZAMBOANGA DEL NORTE-LILOY,48
2291,4131,MRD,MINDANAO 6,LANAO DEL NORTE-MARANDING,25008-004-5,25008-004-5,MINDANAO,LANAO DEL NORTE-MARANDING,48
2297,4137,PGN,MINDANAO 6,PAGADIAN CITY-RIZAL AVE.,72008-001-2,72008-001-2,MINDANAO,PAGADIAN CITY-RIZAL AVE.,48
2298,4138,SDN,MINDANAO 6,ZAMBOANGA DEL NORTE-SINDANGAN,01008-996-9,01008-996-9,MINDANAO,ZAMBOANGA DEL NORTE-SINDANGAN,48
2299,4139,LPG,MINDANAO 6,PAGADIAN CITY-GAISANO CAPITAL to 4137,72008-003-8,72008-003-8,MINDANAO,PAGADIAN CITY-GAISANO CAPITAL to 4137,48
2301,4152,BSL,MINDANAO 7,BASILAN-ISABELA-STRONG BLVD.,62008-001-5,62008-001-5,MINDANAO,BASILAN-ISABELA-STRONG BLVD.,51
2302,4153,CLM,MINDANAO 7,ZAMBOANGA-CLIMACO,09008-003-0,09008-003-0,MINDANAO,ZAMBOANGA-CLIMACO,51
2305,4156,SBN,MINDANAO 7,ZAMBOANGA-SUCABON,09008-005-6,09008-005-6,MINDANAO,ZAMBOANGA-SUCABON,51
2308,4159,ZBG,MINDANAO 7,ZAMBOANGA-J.S. ALANO,09008-001-4,09008-001-4,MINDANAO,ZAMBOANGA-J.S. ALANO,51
2309,4160,CNZ,MINDANAO 7,ZAMBOANGA-CANELAR,09008-006-9,09008-006-9,MINDANAO,ZAMBOANGA-CANELAR,51
2310,4161,GWN,MINDANAO 7,ZAMBOANGA-KCC MALL,09008-009-8,09008-009-8,MINDANAO,ZAMBOANGA-KCC MALL,51
2311,4162,AVZ,MINDANAO 7,ZAMBOANGA-MCLL HIGHWAY,09008-007-2,09008-007-2,MINDANAO,ZAMBOANGA-MCLL HIGHWAY,51
2312,4163,ZAM,MINDANAO 7,ZAMBOANGA-SAN JOSE,09008-004-3,09008-004-3,MINDANAO,ZAMBOANGA-SAN JOSE,51
2315,6117,HND,HEADOFFICE,SB - LOANS DIVISION,01008-980-4,01008-980-4,HEADOFFICE,SB - LOANS DIVISION,1
2316,6117,RVH,HEADOFFICE,SB - LOANS DIVISION,01008-980-4,01008-980-4,HEADOFFICE,SB - LOANS DIVISION,1
2319,6302,PIN,SOL 7,OR. MINDORO-PINAMALAYAN MALVAR,38008-004-1,38008-004-1,SOL,OR. MINDORO-PINAMALAYAN MALVAR,37
2321,6304,GBC,NOL 4,BULACAN-GUIGUINTO,13008-025-9,13008-025-9,NOL,BULACAN-GUIGUINTO,26
2322,6305,BOO,SOL 7,OR. MINDORO-BONGABONG,38008-005-4,38008-005-4,SOL,OR. MINDORO-BONGABONG,37
2324,6307,BAB,SOL 1,BATANGAS-BAUAN MARKET to 2405,19008-014-7,19008-014-7,SOL,BATANGAS-BAUAN MARKET to 2405,31
2325,6308,CBL,SOL 3,LAGUNA-CALAMBA-NATIONAL HIGHWAY to 2454,31008-020-2,31008-020-2,SOL,LAGUNA-CALAMBA-NATIONAL HIGHWAY to 2454,33
2326,6309,MAB,SOL 1,BATANGAS-MABINI,19008-013-4,19008-013-4,SOL,BATANGAS-MABINI,31
2327,6310,ODI,SOL 7,ROMBLON-ODIONGAN LIWAYWAY to 2413,01008-982-0,01008-982-0,SOL,ROMBLON-ODIONGAN LIWAYWAY to 2413,37
2329,6312,LIM,NOL 6,BATAAN-LIMAY to 6322,06008-021-9,06008-021-9,NOL,BATAAN-LIMAY to 6322,28
2331,6314,PGR,SOL 7,OR. MINDORO-PUERTO GALERA,38008-007-0,38008-007-0,SOL,OR. MINDORO-PUERTO GALERA,37
2332,6315,CUB,NMM-1,Q.C.-CUBAO SAN ROQUE to 1279,01008-288-5,01008-288-5,NMMR,Q.C.-CUBAO SAN ROQUE to 1279,2
2334,6318,SIL,SOL 2,CAVITE-SILANG-OLD BULIHAN to 2438,41008-019-9,41008-019-9,SOL,CAVITE-SILANG-OLD BULIHAN to 2438,32
2336,6320,COR,VISAYAS 1,PALAWAN-CORON,78008-001-0,78008-001-0,VISAYAS,PALAWAN-CORON,38
2340,6324,INF,SOL 4,QUEZON-INFANTA,31008-021-5,31008-021-5,SOL,QUEZON-INFANTA,34
2345,6329,SPA,SOL 3,LAGUNA-SAN PEDRO-CATAQUIZ to 2460,31008-022-8,31008-022-8,SOL,LAGUNA-SAN PEDRO-CATAQUIZ to 2460,33
2347,6331,LPP,SMM-8,LAS PIÑAS-PAMPLONA RCS ARCADE,01008-292-4,01008-292-4,SMMR,LAS PIÑAS-PAMPLONA RCS ARCADE,22
2348,6332,SNF,NOL 5,SAN FERNANDO-MAIMPIS to 2037,06008-020-6,06008-020-6,NOL,SAN FERNANDO-MAIMPIS to 2037,27
2349,6333,LUC,SOL 4,LUCENA CITY-RED V,14008-007-4,14008-007-4,SOL,LUCENA CITY-RED V,34
2350,6334,LPB,SOL 1,LIPA CITY-TAMBO to 2409,19008-016-3,19008-016-3,SOL,LIPA CITY-TAMBO to 2409,31
2351,6335,VVC,NMM-1,VALENZUELA-MACARTHUR-MARULAS,01008-293-7,01008-293-7,NMMR,VALENZUELA-MACARTHUR-MARULAS,2
2353,6337,DAS,SOL 2,DASMARINAS-BUROL MAIN to 2429,41008-020-9,41008-020-9,SOL,DASMARINAS-BUROL MAIN to 2429,32
2354,6338,NCS,SOL 5,NAGA CITY-DIVERSION ROAD to 2506,07008-007-6,07008-007-6,SOL,NAGA CITY-DIVERSION ROAD to 2506,35
2358,6342,BTM,SOL 1,BATANGAS-MALVAR,19008-017-6,19008-017-6,SOL,BATANGAS-MALVAR,31
2359,6343,ANT,NMM-5,ANTIPOLO-SUMULONG MEM. CIRCLE to 1303,01008-295-3,01008-295-3,NMMR,ANTIPOLO-SUMULONG MEM. CIRCLE to 1303,6
2363,6347,PAT,SMM-7,PATEROS-ALMEDA,01008-297-9,01008-297-9,SMMR,PATEROS-ALMEDA,21
2364,6348,BGT,SMM-6,BGC-10TH AVENUE,01008-298-2,01008-298-2,SMMR,BGC-10TH AVENUE,20
2365,6349,ROS,SOL 1,BATANGAS-ROSARIO,19008-018-9,19008-018-9,SOL,BATANGAS-ROSARIO,31
2366,6350,SCA,SOL 4,LAGUNA-STA. CRUZ-ALFONSO to 2487,31008-024-4,31008-024-4,SOL,LAGUNA-STA. CRUZ-ALFONSO to 2487,34
2367,6351,DMA,MINDANAO 1,DAVAO-MA-A to 4087,03008-029-4,03008-029-4,MINDANAO,DAVAO-MA-A to 4087,46
2369,6353,MLM,CMM-1,MALABON-PANGHULO to 1005,01008-300-4,01008-300-4,CMMR,MALABON-PANGHULO to 1005,9
2370,6354,CLS,NOL 7,PANGASINAN-CALASIAO,05008-014-8,05008-014-8,NOL,PANGASINAN-CALASIAO,29
2379,6363,ONG,SMM-1,MANILA-ONGPIN,01008-304-6,01008-304-6,SMMR,MANILA-ONGPIN,15
2381,6365,TBA,VISAYAS 3,CEBU-TABOAN to 3051,02008-038-5,02008-038-5,VISAYAS,CEBU-TABOAN to 3051,40
2382,6366,STB,SOL 1,BATANGAS-STO. TOMAS MARKET,19008-019-2,19008-019-2,SOL,BATANGAS-STO. TOMAS MARKET,31
2383,6367,MDE,VISAYAS 2,CEBU-MANDAUE-CASUNTINGAN,02008-039-8,02008-039-8,VISAYAS,CEBU-MANDAUE-CASUNTINGAN,39
2388,8009,HZG,HEAD OFFICE,GREENHILLS LOANS & SERVICE CENTER,00008-800-9,00008-800-9,HEAD OFFICE,GREENHILLS LOANS & SERVICE CENTER,1
2390,8011,HZD,HEAD OFFICE,NORTH LUZON 2 (DAGUPAN) LOANS SRVC CTR,00008-801-1,00008-801-1,HEAD OFFICE,NORTH LUZON 2 (DAGUPAN) LOANS SRVC CTR,1
2391,8012,HZC,HEAD OFFICE,CAGAYAN VALLEY (CAUAYAN) LOANS SRVC CTR,00008-801-2,00008-801-2,HEAD OFFICE,CAGAYAN VALLEY (CAUAYAN) LOANS SRVC CTR,1
2392,8013,HZU,HEAD OFFICE,CENTRAL LUZ 1 (CABANATUAN)LOANS SRVC CTR,00008-801-3,00008-801-3,HEAD OFFICE,CENTRAL LUZ 1 (CABANATUAN)LOANS SRVC CTR,1
2393,8014,HZI,HEAD OFFICE,CENTRAL LUZON 2 (ANGELES) LOANS SRVC CTR,00008-801-4,00008-801-4,HEAD OFFICE,CENTRAL LUZON 2 (ANGELES) LOANS SRVC CTR,1
2394,8015,HZP,HEAD OFFICE,PAMPANGA LOANS SERVICE CENTER,00008-801-5,00008-801-5,HEAD OFFICE,PAMPANGA LOANS SERVICE CENTER,1
2396,8017,HZS,HEAD OFFICE,SOUTH LUZON 2 (SAN PABLO) LOANS SRVC CTR,00008-801-7,00008-801-7,HEAD OFFICE,SOUTH LUZON 2 (SAN PABLO) LOANS SRVC CTR,1
2397,8018,HZQ,HEAD OFFICE,BICOL LOANS SERVICE CENTER,00008-801-8,00008-801-8,HEAD OFFICE,BICOL LOANS SERVICE CENTER,1
2398,8019,HZH,HEAD OFFICE,CONSUMER LOANS & OPERATIONS DEPT(ADMIN),00008-801-9,00008-801-9,HEAD OFFICE,CONSUMER LOANS & OPERATIONS DEPT(ADMIN),1
2400,8021,HZT,HEAD OFFICE,SAMAR - LEYTE LOANS SERVICE CENTER,00008-802-1,00008-802-1,HEAD OFFICE,SAMAR - LEYTE LOANS SERVICE CENTER,1
2401,8022,HZY,HEAD OFFICE,PANAY LOANS SERVICE CENTER,00008-802-2,00008-802-2,HEAD OFFICE,PANAY LOANS SERVICE CENTER,1
2402,8023,HZN,HEAD OFFICE,NEGROS LOANS SERVICE CENTER,00008-802-3,00008-802-3,HEAD OFFICE,NEGROS LOANS SERVICE CENTER,1
2403,8024,HZV,HEAD OFFICE,DAVAO LOANS SERVICE CENTER,00008-802-4,00008-802-4,HEAD OFFICE,DAVAO LOANS SERVICE CENTER,1
2404,8025,HZO,HEAD OFFICE,NO MINDANAO(CAGAYAN DEORO)LOANS SRVC CTR,00008-802-5,00008-802-5,HEAD OFFICE,NO MINDANAO(CAGAYAN DEORO)LOANS SRVC CTR,1
2406,8027,HZW,HEAD OFFICE,WEST MINDANAO (ZAMBOANGA) LOANS SRVC CTR,00008-802-7,00008-802-7,HEAD OFFICE,WEST MINDANAO (ZAMBOANGA) LOANS SRVC CTR,1
2407,8028,HLD,HEAD OFFICE,CORPORATE LOANS OPERATIONS DEPT(ADMIN),00008-802-8,00008-802-8,HEAD OFFICE,CORPORATE LOANS OPERATIONS DEPT(ADMIN),1
1610,0000,,,,,,,,0
1611,0000,,,,,,,,0
1612,0000,,,,,,,,0
1613,0050,HOK,HEADOFFICE,CLEARING OPERATIONS CENTER,01008-999-8,01008-999-8,HEADOFFICE,CLEARING OPERATIONS CENTER,1
1614,0218,HML,HEAD OFFICE,CONSUMER & SME LOANS DEPARTMENT,00008-021-8,00008-021-8,HEAD OFFICE,CONSUMER & SME LOANS DEPARTMENT,1
1615,0272,HKE,HEAD OFFICE,REAL ESTATE LOANS,00008-027-2,00008-027-2,HEAD OFFICE,REAL ESTATE LOANS,1
1616,0275,HKM,HEAD OFFICE,MOTOR VEHICLE LOANS,00008-027-5,00008-027-5,HEAD OFFICE,MOTOR VEHICLE LOANS,1
1617,0425,HGZ,HEAD OFFICE,LOANS REVIEW DEPARTMENT,00008-042-5,00008-042-5,HEAD OFFICE,LOANS REVIEW DEPARTMENT,1
1618,0549,HOT,HEADOFFICE,TRANSACTION BANKING CENTER,01008-977-8,01008-977-8,HEADOFFICE,TRANSACTION BANKING CENTER,1
1619,0555,HUM,HEADOFFICE,CSMC TRANSACTION SERVICING SECTION,01008-978-1,01008-978-1,HEADOFFICE,CSMC TRANSACTION SERVICING SECTION,1
1620,0555,HUM,HEADOFFICE,CSMC TRANSACTION SERVICING SECTION,00008-055-5,00008-055-5,HEADOFFICE,CSMC TRANSACTION SERVICING SECTION,1
1621,0556,HMU,CASH CENTER,MANILA CASH CENTER,00008-055-6,00008-055-6,CASH CENTER,MANILA CASH CENTER,52
1622,0557,HYU,CASH CENTER,MANDALUYONG CASH CENTER,00008-055-7,00008-055-7,CASH CENTER,MANDALUYONG CASH CENTER,52
1623,0560,HUA,CASH CENTER,ANGELES CASH CENTER,00008-056-0,00008-056-0,CASH CENTER,ANGELES CASH CENTER,52
1624,0561,HUC,CASH CENTER,CEBU CASH CENTER,00008-056-1,00008-056-1,CASH CENTER,CEBU CASH CENTER,52
1625,0562,HUD,CASH CENTER,DAVAO CASH CENTER,00008-056-2,00008-056-2,CASH CENTER,DAVAO CASH CENTER,52
1626,0563,HID,CASH CENTER,ILOILO CASH CENTER,00008-056-3,00008-056-3,CASH CENTER,ILOILO CASH CENTER,52
1627,0566,HUB,CASH CENTER,BACOOR CASH CENTER,00008-056-6,00008-056-6,CASH CENTER,BACOOR CASH CENTER,52
1628,0567,HPU,CASH CENTER,DAGUPAN CASH CENTER,00008-056-7,00008-056-7,CASH CENTER,DAGUPAN CASH CENTER,52
1629,0568,HUU,CASH CENTER,LA UNION CASH CENTER,00008-056-8,00008-056-8,CASH CENTER,LA UNION CASH CENTER,52
1630,0569,HUI,CASH CENTER,LAOAG CASH CENTER,00008-056-9,00008-056-9,CASH CENTER,LAOAG CASH CENTER,52
1631,0570,HUT,CASH CENTER,CABANATUAN CASH CENTER,00008-057-0,00008-057-0,CASH CENTER,CABANATUAN CASH CENTER,52
1632,0571,HUY,CASH CENTER,CAUAYAN CASH CENTER,00008-057-1,00008-057-1,CASH CENTER,CAUAYAN CASH CENTER,52
1633,0572,HUS,CASH CENTER,SANTIAGO CASH CENTER,00008-057-2,00008-057-2,CASH CENTER,SANTIAGO CASH CENTER,52
1634,0573,HTU,CASH CENTER,TUGUEGARAO CASH CENTER,00008-057-3,00008-057-3,CASH CENTER,TUGUEGARAO CASH CENTER,52
1635,0574,HUN,CASH CENTER,CALAMBA CASH CENTER,00008-057-4,00008-057-4,CASH CENTER,CALAMBA CASH CENTER,52
1636,0575,HBT,CASH CENTER,BATANGAS CASH CENTER,00008-057-5,00008-057-5,CASH CENTER,BATANGAS CASH CENTER,52
1637,0576,HUQ,CASH CENTER,LUCENA CASH CENTER,00008-057-6,00008-057-6,CASH CENTER,LUCENA CASH CENTER,52
1638,0577,HUP,CASH CENTER,LEGASPI CASH CENTER,00008-057-7,00008-057-7,CASH CENTER,LEGASPI CASH CENTER,52
1639,0578,HNU,CASH CENTER,NAGA CASH CENTER,00008-057-8,00008-057-8,CASH CENTER,NAGA CASH CENTER,52
1640,0580,HUK,CASH CENTER,TACLOBAN CASH CENTER,00008-058-0,00008-058-0,CASH CENTER,TACLOBAN CASH CENTER,52
1641,0581,HUR,CASH CENTER,ROXAS CASH CENTER,00008-058-1,00008-058-1,CASH CENTER,ROXAS CASH CENTER,52
1642,0582,HBK,CASH CENTER,BACOLOD CASH CENTER,00008-058-2,00008-058-2,CASH CENTER,BACOLOD CASH CENTER,52
1643,0583,HDM,CASH CENTER,DUMAGUETE CASH CENTER,00008-058-3,00008-058-3,CASH CENTER,DUMAGUETE CASH CENTER,52
