SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1815,1443,TBY,SMM-7,TAGUIG-BAYANI ROAD,01008-271-7,01008-271-7,SMMR,TAGUIG-BAYANI ROAD,21
1816,1444,BGW,SMM-6,BGC-WORLD PLAZA,01008-272-0,01008-272-0,SMMR,BGC-WORLD PLAZA,20
1819,1447,BOR,SMM-6,BGC-ORE CENTRAL,01008-276-2,01008-276-2,SMMR,BGC-ORE CENTRAL,20
1822,1451,ALP,SMM-8,LAS PIÑAS-AGUILAR AVENUE,01008-241-6,01008-241-6,SMMR,LAS PIÑAS-AGUILAR AVENUE,22
1827,1456,TUN,SMM-8,MUNTINLUPA-BELLEVUE-FILINVEST,01008-192-5,01008-192-5,SMMR,MUNTINLUPA-BELLEVUE-FILINVEST,22
1828,1457,FIA,SMM-8,MUNTINLUPA-FILINVEST AVENUE,01008-264-9,01008-264-9,SMMR,MUNTINLUPA-FILINVEST AVENUE,22
1831,1460,MTL,SMM-8,MUNTINLUPA-POBLACION,01008-047-6,01008-047-6,SMMR,MUNTINLUPA-POBLACION,22
1974,2081,PER,NOL 7,DAGUPAN CITY-PEREZ BLVD.,05008-010-6,05008-010-6,NOL,DAGUPAN CITY-PEREZ BLVD.,29
1975,2082,LGY,NOL 7,PANGASINAN-LINGAYEN,05008-004-1,05008-004-1,NOL,PANGASINAN-LINGAYEN,29
1977,2084,PNQ,NOL 8,TARLAC-PANIQUI,22008-001-7,22008-001-7,NOL,TARLAC-PANIQUI,30
1979,2086,SCP,NOL 7,PANGASINAN-SAN CARLOS CITY,05008-009-6,05008-009-6,NOL,PANGASINAN-SAN CARLOS CITY,29
1980,2087,TRC,NOL 8,TARLAC CITY-F. TAÑEDO,22008-002-0,22008-002-0,NOL,TARLAC CITY-F. TAÑEDO,30
1982,2089,TYG,NOL 7,PANGASINAN-TAYUG,05008-005-4,05008-005-4,NOL,PANGASINAN-TAYUG,29
1986,2202,AGO,NOL 1,AGOO-CONSOLACION,15008-002-2,15008-002-2,NOL,AGOO-CONSOLACION,23
1988,2204,BGY,NOL 1,BAGUIO CITY-SESSION ROAD,12008-001-0,12008-001-0,NOL,BAGUIO CITY-SESSION ROAD,23
